demand_mw,year,month,day,hour,minute,dow,is_weekend,roll_30min,roll_7d,roll_14d,roll_30d
7759.43,2012,5,11,1,0,4,0,7759.43,8388.257261904762,8325.679181547619,8181.023395833335
7529.85,2012,5,11,1,30,4,0,7529.85,8388.596875,8325.64105654762,8181.291222222223
7280.34,2012,5,11,2,0,4,0,7280.34,8389.363720238096,8325.561458333334,8181.528583333334
6987.62,2012,5,11,2,30,4,0,6987.62,8390.322529761903,8325.502142857144,8181.7830138888885
6753.01,2012,5,11,3,0,4,0,6753.01,8390.345029761906,8325.53882440476,8182.0147499999985
6526.61,2012,5,11,3,30,4,0,6526.61,8390.280595238095,8325.501979166667,8182.267604166666
6410.44,2012,5,11,4,0,4,0,6410.44,8390.190773809523,8325.461755952381,8182.483458333333
6403.39,2012,5,11,4,30,4,0,6403.39,8390.11568452381,8325.427782738096,8182.7113125000005
6558.86,2012,5,11,5,0,4,0,6558.86,8390.088958333334,8325.474985119046,8182.994201388889
6844.87,2012,5,11,5,30,4,0,6844.87,8389.910089285715,8325.558988095238,8183.254777777777
7185.41,2012,5,11,6,0,4,0,7185.41,8389.705982142857,8325.67211309524,8183.538638888888
7851.22,2012,5,11,6,30,4,0,7851.22,8389.325982142856,8325.792559523808,8183.870590277778
8454.31,2012,5,11,7,0,4,0,8454.31,8388.894494047618,8325.975074404761,8184.259972222223
8757.69,2012,5,11,7,30,4,0,8757.69,8388.579732142858,8326.142470238095,8184.636784722223
9068.88,2012,5,11,8,0,4,0,9068.88,8388.051934523808,8326.109047619047,8184.995041666668
9131.42,2012,5,11,8,30,4,0,9131.42,8387.50806547619,8326.0425,8185.337916666667
9066.37,2012,5,11,9,0,4,0,9066.37,8387.077976190476,8325.99976190476,8185.609770833334
9129.64,2012,5,11,9,30,4,0,9129.64,8386.827023809523,8326.001547619047,8185.860986111112
9077.67,2012,5,11,10,0,4,0,9077.67,8386.540595238093,8325.868333333334,8186.112284722222
9084.22,2012,5,11,10,30,4,0,9084.22,8386.37949404762,8325.792157738095,8186.3732013888875
9086.62,2012,5,11,11,0,4,0,9086.62,8386.654970238096,8326.378392857143,8186.641138888889
8950.04,2012,5,11,11,30,4,0,8950.04,8386.670208333333,8327.194613095238,8186.896361111111
8921.89,2012,5,11,12,0,4,0,8921.89,8386.687916666668,8327.637738095238,8187.115569444444
8868.4,2012,5,11,12,30,4,0,8868.4,8386.664672619047,8327.592767857142,8187.288604166666
8812.35,2012,5,11,13,0,4,0,8812.35,8386.71431547619,8327.403854166667,8187.445069444445
8838.81,2012,5,11,13,30,4,0,8838.81,8386.878898809524,8327.389970238097,8187.713000000001
8815.27,2012,5,11,14,0,4,0,8815.27,8386.961547619048,8327.322842261905,8188.117201388888
8819.09,2012,5,11,14,30,4,0,8819.09,8387.074107142857,8327.288913690476,8188.348194444445
8817.95,2012,5,11,15,0,4,0,8817.95,8387.265773809524,8327.207395833333,8188.560576388888
8824.16,2012,5,11,15,30,4,0,8824.16,8387.625744047618,8327.33849702381,8188.771229166666
8885.65,2012,5,11,16,0,4,0,8885.65,8388.017351190476,8327.48513392857,8188.9989444444445
8964.29,2012,5,11,16,30,4,0,8964.29,8388.486636904763,8327.622083333334,8189.260506944445
9066.96,2012,5,11,17,0,4,0,9066.96,8388.731875000001,8327.826949404762,8189.502347222222
9338.64,2012,5,11,17,30,4,0,9338.64,8388.820089285715,8328.099255952382,8189.797388888889
9750.34,2012,5,11,18,0,4,0,9750.34,8388.699107142857,8328.4128125,8190.132159722222
9545.68,2012,5,11,18,30,4,0,9545.68,8388.003869047618,8328.342544642856,8190.096902777777
9365.49,2012,5,11,19,0,4,0,9365.49,8387.429226190477,8328.232797619048,8190.016048611111
9065.83,2012,5,11,19,30,4,0,9065.83,8386.66050595238,8328.139419642857,8189.906388888889
8879.89,2012,5,11,20,0,4,0,8879.89,8385.825654761906,8328.055922619047,8189.848027777778
8794.18,2012,5,11,20,30,4,0,8794.18,8385.201964285714,8328.093422619047,8189.836854166667
8652.46,2012,5,11,21,0,4,0,8652.46,8384.662172619046,8328.157946428571,8189.849062499999
8469.25,2012,5,11,21,30,4,0,8469.25,8384.085267857143,8328.201830357142,8189.910430555556
8376.66,2012,5,11,22,0,4,0,8376.66,8383.705833333333,8328.310610119046,8190.068152777777
8404.63,2012,5,11,22,30,4,0,8404.63,8383.075297619047,8328.399508928573,8190.238097222223
8311.87,2012,5,11,23,0,4,0,8311.87,8382.566845238096,8328.523526785713,8190.453402777778
8271.73,2012,5,11,23,30,4,0,8271.73,8381.982232142856,8328.529836309524,8190.67825
8178.59,2012,5,12,0,0,5,1,8178.59,8381.330773809523,8328.532187499999,8190.895173611111
7952.68,2012,5,12,0,30,5,1,7952.68,8380.620892857143,8328.482276785715,8191.082618055555
7726.61,2012,5,12,1,0,5,1,7726.61,8379.944285714286,8328.451800595238,8191.279125000001
7475.16,2012,5,12,1,30,5,1,7475.16,8379.204047619049,8328.458080357143,8191.412833333332
7267.38,2012,5,12,2,0,5,1,7267.38,8378.891458333334,8328.4725,8191.553694444445
6958.05,2012,5,12,2,30,5,1,6958.05,8378.800565476191,8328.580029761904,8191.715187500001
6698.68,2012,5,12,3,0,5,1,6698.68,8378.577351190475,8328.652827380953,8191.869083333334
6473.65,2012,5,12,3,30,5,1,6473.65,8378.191398809522,8328.754479166666,8192.007284722222
6365.87,2012,5,12,4,0,5,1,6365.87,8377.871369047618,8328.784642857143,8192.124
6331.62,2012,5,12,4,30,5,1,6331.62,8377.591011904762,8328.822514880952,8192.208416666666
6360.58,2012,5,12,5,0,5,1,6360.58,8377.264583333334,8328.856562500001,8192.251138888889
6427.65,2012,5,12,5,30,5,1,6427.65,8376.820833333333,8328.889613095238,8192.176416666665
6621.96,2012,5,12,6,0,5,1,6621.96,8376.469464285714,8328.974910714287,8191.993701388888
6898.61,2012,5,12,6,30,5,1,6898.61,8376.131458333333,8329.165863095239,8191.603666666666
7143.17,2012,5,12,7,0,5,1,7143.17,8375.645595238095,8329.37476190476,8191.036833333333
7541.94,2012,5,12,7,30,5,1,7541.94,8375.234107142858,8329.772857142858,8190.534868055555
7960.22,2012,5,12,8,0,5,1,7960.22,8374.877023809522,8330.141473214286,8190.0917430555555
8362.0,2012,5,12,8,30,5,1,8362.0,8374.801547619047,8330.561279761905,8189.848979166666
8527.35,2012,5,12,9,0,5,1,8527.35,8374.562172619047,8330.925282738093,8189.652465277777
8692.55,2012,5,12,9,30,5,1,8692.55,8374.395297619047,8331.236919642857,8189.4949097222225
8592.68,2012,5,12,10,0,5,1,8592.68,8374.224166666667,8331.426860119047,8189.25904861111
8555.6,2012,5,12,10,30,5,1,8555.6,8374.072619047618,8331.538764880952,8188.991791666666
8430.8,2012,5,12,11,0,5,1,8430.8,8374.015654761904,8331.570163690476,8188.655902777778
8279.23,2012,5,12,11,30,5,1,8279.23,8373.81261904762,8331.49956845238,8188.257743055556
8145.76,2012,5,12,12,0,5,1,8145.76,8373.484791666668,8331.406398809524,8187.791194444445
8070.59,2012,5,12,12,30,5,1,8070.59,8373.188244047618,8331.360550595238,8187.299319444444
