DATE,demand_mw_sum,demand_mw_mean,demand_mw_max,forecast_mw_sum,forecast_mw_mean,forecast_mw_max,fcst_error_mean,fcst_abs_error_sum,fcst_ape_mean,year,month,day,dow,is_weekend,is_holiday,dow_sin,dow_cos,month_sin,month_cos,F_P7_sin1,F_P7_cos1,F_P7_sin2,F_P7_cos2,F_P7_sin3,F_P7_cos3,F_P365_sin1,F_P365_cos1,F_P365_sin2,F_P365_cos2,F_P365_sin3,F_P365_cos3,demand_mw_sum_lag1,demand_mw_sum_lag7,demand_mw_sum_lag14,demand_mw_sum_lag28,demand_mw_sum_roll7_mean,demand_mw_sum_roll7_std,demand_mw_sum_roll14_mean,demand_mw_sum_roll14_std,temp_c_mean_lag1,temp_c_mean_lag7,forecast_mw_sum_lag1,forecast_mw_sum_lag7,cloud_cover,humidity,irradiance,precipitation,rn_temp_c,wind_speed,rn_temp_c_max,wind_speed_max,irradiance_max,precipitation_max,cloud_cover_max,humidity_max
2010-04-14,410723.3,8556.735416666666,9789.42,412399.31,8591.652291666667,9806.98,34.91687499999997,3383.949999999999,0.8132044936982616,2010,4,14,2,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844388,-0.4999999999999998,-0.9749279121818212,-0.22252093395632483,0.43388373911757744,-0.9009688679024098,0.7818314824680186,0.6234898018587476,0.9796136916454901,-0.20089055513063506,-0.3935902766564665,-0.9192859697186105,-0.8214765533024145,0.5702422926917867,409336.07,410194.69,417797.86,426102.33,396009.91428571433,20523.449918901468,385651.1171428571,27382.96975038588,15.235416666666666,20.715625,409836.99,407453.71,0.6004166666666667,0.007875,4823.945,0.03,17.9775,1.3982916666666665,23.434,1.969,763.202,0.003,0.871,0.009
2010-04-15,412467.85,8593.080208333333,9827.25,412707.78,8598.07875,9857.06,4.998541666666806,2476.7699999999995,0.6038273534272892,2010,4,15,3,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844388,-0.4999999999999998,-0.7818314824680233,0.6234898018587418,-0.9749279121818283,-0.2225209339562938,-0.4338837391175483,-0.9009688679024238,0.9760105506323683,-0.21772323039653177,-0.42500033996955394,-0.9051931898913975,-0.7909456567567774,0.6118864012687241,410723.3,413431.49,408841.92,429004.38,395872.2514285714,20389.914457942414,385910.11214285716,27635.172887504283,16.629166666666666,21.606944444444448,412399.31,412783.03,0.46579166666666666,0.0095,4162.757,0.485,18.46891666666667,1.7826666666666666,22.537,2.156,567.205,0.076,0.786,0.01
2010-04-16,408926.93,8519.311041666666,9673.39,409749.49,8536.447708333333,9716.83,17.136666666666866,2753.6799999999957,0.6845933339646213,2010,4,16,4,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844388,-0.4999999999999998,3.4314869601589423e-15,1.0,6.8629739203178846e-15,1.0,-3.9163938347251765e-15,1.0,0.9721181966290613,-0.23449138957040985,-0.455906693508459,-0.8900275764346766,-0.7583058084785625,0.6518989958787125,412467.85,405199.41,355244.72,435891.6,396404.75428571424,20720.10094952057,389744.55571428576,26763.497487246936,17.683333333333334,18.672916666666666,412707.78,408878.77,0.08800000000000001,0.010166666666666666,4872.467000000001,0.458,18.910375,1.3559166666666667,22.716,1.944,708.257,0.069,0.132,0.011
2010-04-17,378598.53,7887.469375000001,9042.68,378184.81,7878.850208333333,8928.99,-8.619166666666823,2027.6200000000053,0.5344180898332676,2010,4,17,5,1,0,-0.9749279121818235,-0.2225209339563146,0.8660254037844388,-0.4999999999999998,0.7818314824680275,0.6234898018587365,0.9749279121818253,-0.22252093395630718,0.43388373911755534,-0.9009688679024205,0.9679377830240642,-0.25119006388481935,-0.4862727071086902,-0.8738071036110807,-0.7236440382959124,0.6901733882429719,408926.93,374223.39,359225.81,408233.19,397029.77428571426,19992.705552629013,391128.3214285714,25536.90408660522,17.572916666666668,19.974652777777777,409749.49,376843.76,0.138125,0.010958333333333334,4779.341,0.673,19.72475,1.390875,23.549,2.091,716.6,0.037,0.265,0.012
2010-04-18,367242.32,7650.881666666667,9074.94,369800.77,7704.182708333334,8999.46,53.30104166666657,3513.5099999999984,0.9617276607406989,2010,4,18,6,1,0,-0.7818314824680299,0.6234898018587334,0.8660254037844388,-0.4999999999999998,0.9749279121818261,-0.22252093395630382,-0.4338837391175385,-0.9009688679024286,-0.7818314824680235,0.6234898018587414,0.9634705485641488,-0.2678143051621742,-0.5160623910158526,-0.8565509959010037,-0.6870527672236675,0.726607524768565,378598.53,360465.48,333841.63,400682.48,397997.8942857143,17990.894334612407,393514.08499999996,20915.25945373364,18.314930555555556,21.327083333333334,378184.81,360586.71,0.30554166666666666,0.011583333333333334,4667.517,0.45,20.246458333333333,1.308375,24.186,1.724,704.617,0.032,0.668,0.012
2010-04-19,416593.48,8679.030833333332,10219.65,415147.28,8648.901666666667,10169.95,-30.129166666666624,4272.459999999996,0.9750130841630081,2010,4,19,0,0,0,0.0,1.0,0.8660254037844388,-0.4999999999999998,0.4338837391175615,-0.9009688679024175,-0.7818314824680346,0.6234898018587276,0.9749279121818325,-0.22252093395627565,0.9587178169872964,-0.2843591872810034,-0.5452404385406507,-0.8382797052177744,-0.6486295610349818,0.7611042586607744,367242.32,398690.26,357999.91000000003,429092.77,400555.4971428571,19328.566013830823,397699.33999999997,19040.43840406305,19.169791666666665,17.522916666666667,369800.77,400258.66,0.4028333333333333,0.011625000000000002,4608.942,0.486,20.266791666666666,1.5678333333333334,24.385,1.839,699.717,0.047,0.705,0.012
2010-04-20,419638.35,8742.465624999999,10099.34,421828.25,8788.088541666666,10020.69,45.62291666666679,5167.940000000001,1.2385471770600103,2010,4,20,1,0,0,0.7818314824680297,0.6234898018587336,0.8660254037844388,-0.4999999999999998,-0.4338837391175483,-0.9009688679024238,0.7818314824680161,0.6234898018587506,-0.974927912181829,-0.22252093395629094,0.9536809966304457,-0.30081980763566735,-0.5737722679043243,-0.8190148866680802,-0.6084768701151264,0.7935716089521472,416593.48,409336.07,401697.56,438302.26,402027.2514285714,20467.271327785867,398980.825,19913.932836824973,18.976041666666667,15.235416666666666,415147.28,409836.99,0.4179583333333334,0.010958333333333334,4410.066,0.755,19.86775,1.6784583333333334,24.138,2.071,664.346,0.1,0.764,0.012
2010-04-21,416615.49,8679.489375,10021.37,420589.37,8762.278541666667,10062.21,82.78916666666679,4438.860000000005,1.0890732420710532,2010,4,21,2,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844388,-0.4999999999999998,-0.9749279121818227,-0.22252093395631817,0.43388373911756506,-0.9009688679024158,0.7818314824680137,0.6234898018587537,0.9483615800121715,-0.3171912885891061,-0.6016240632249227,-0.7987793728863648,-0.5667017562911184,0.8239230057575536,419638.35,410723.3,410194.69,430214.92,402868.9928571429,20998.773444590704,399439.45357142854,20262.939365477167,19.12048611111111,16.629166666666666,421828.25,412399.31,0.2462916666666667,0.010458333333333333,4678.784,0.157,19.99833333333333,1.50675,24.857,1.95,689.608,0.019,0.561,0.011
2010-04-22,419082.14,8730.877916666666,10192.43,419038.67,8729.972291666667,10070.47,-0.9056250000000622,3639.01,0.9065183460934342,2010,4,22,3,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844388,-0.4999999999999998,-0.7818314824680278,0.623489801858736,-0.9749279121818251,-0.22252093395630812,-0.4338837391175412,-0.9009688679024273,0.9427611433904207,-0.3334687789181868,-0.6287628145958345,-0.7775971469736269,-0.5234156073655503,0.8520775211013093,416615.49,412467.85,413431.49,436647.26,403813.8914285715,21641.66184976879,399843.0714285714,20616.282952196387,18.982291666666665,17.683333333333334,420589.37,412707.78,0.08479166666666667,0.009666666666666665,4725.5779999999995,0.079,20.698291666666666,1.445625,25.968,1.681,702.446,0.009,0.222,0.011
2010-04-23,415237.77999999997,8650.787083333333,9873.68,415257.3,8651.19375,9991.42,0.4066666666667705,3595.439999999994,0.8399474137923261,2010,4,23,4,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844388,-0.4999999999999998,-3.91886975727153e-15,1.0,-7.83773951454306e-15,1.0,-1.175660927181459e-14,1.0,0.9368813462954315,-0.3496474552512284,-0.655156357209085,-0.7554933140726804,-0.4787338401157883,0.8779600847008883,419082.14,408926.93,405199.41,452065.86,404715.4414285714,22018.33208018727,400560.09785714286,20988.11661661273,19.40798611111111,17.572916666666668,419038.67,409749.49,0.5155833333333334,0.009708333333333334,4087.052,0.496,21.715125,1.7212500000000002,26.901,2.313,694.1,0.127,0.94,0.01
